id,key,value,type
5702492,highway,residential,regular
5702492,cfcc,A41,tiger
5702492,tlid,59712436,tiger
5702492,county,"Queens, NY",tiger
5702492,source,tiger_import_dch_v0.6_20070829,tiger
5702492,reviewed,no,tiger
5702492,zip_left,11432,tiger
5702492,name_base,173rd,tiger
5702492,name_type,Street,tiger
5702492,separated,no,tiger
5702492,zip_right,11432,tiger
5702492,upload_uuid,bulk_upload.pl-76c2f01f-97e8-4577-832a-27364377b656,tiger
5702694,name,194th Street,regular
5702694,highway,residential,regular
5702694,cfcc,A41,tiger
5702694,tlid,59719186:59719198:59719024:59719026:59719032:59719034:59719038:59719040:59719042:59719094:59719096:59719098:59719017:59719019,tiger
5702694,county,"Queens, NY",tiger
5702694,source,tiger_import_dch_v0.6_20070829,tiger
5702694,reviewed,no,tiger
5702694,zip_left,11412,tiger
5702694,name_base,194th,tiger
5702694,name_type,Street,tiger
5702694,separated,no,tiger
5702694,zip_right,11412,tiger
5702694,upload_uuid,bulk_upload.pl-76c2f01f-97e8-4577-832a-27364377b656,tiger
5702877,name,104th Avenue,regular
5702877,highway,residential,regular
5702877,cfcc,A41,tiger
5702877,tlid,59714786:59712553:59712557,tiger
5702877,county,"Queens, NY",tiger
5702877,source,tiger_import_dch_v0.6_20070829,tiger
5702877,reviewed,no,tiger
5702877,zip_left,11433,tiger
5702877,name_base,104th,tiger
5702877,name_type,Avenue,tiger
5702877,separated,no,tiger
5702877,zip_right,11433,tiger
5702877,zip_left_1,11433,tiger
5702877,zip_left_2,11433,tiger
5702877,zip_left_3,11433,tiger
5702877,upload_uuid,bulk_upload.pl-76c2f01f-97e8-4577-832a-27364377b656,tiger
5702877,zip_right_1,11433,tiger
5702877,zip_right_2,11433,tiger
5702877,zip_right_3,11433,tiger
5703073,highway,service,regular
5703073,cfcc,A41,tiger
5703073,tlid,59693094:59693096,tiger
5703073,county,"Queens, NY",tiger
5703073,source,tiger_import_dch_v0.6_20070829,tiger
5703073,reviewed,no,tiger
5703073,zip_left,11378,tiger
5703073,name_base,59th,tiger
5703073,name_type,Avenue,tiger
5703073,separated,no,tiger
5703073,zip_right,11378,tiger
5703073,upload_uuid,bulk_upload.pl-76c2f01f-97e8-4577-832a-27364377b656,tiger
5703279,name,140th Street,regular
5703279,highway,residential,regular
5703279,cfcc,A41,tiger
5703279,county,"Queens, NY",tiger
5703279,reviewed,no,tiger
5703279,zip_left,11367,tiger
5703279,name_base,140th,tiger
5703279,name_type,Street,tiger
5703279,zip_right,11367,tiger
5703456,name,94th Street,regular
5703456,highway,residential,regular
5703456,cfcc,A41,tiger
5703456,tlid,59704434,tiger
5703456,county,"Queens, NY",tiger
5703456,source,tiger_import_dch_v0.6_20070829,tiger
5703456,reviewed,no,tiger
5703456,zip_left,11373,tiger
5703456,name_base,94th,tiger
5703456,name_type,Street,tiger
5703456,separated,no,tiger
5703456,zip_right,11373,tiger
5703456,zip_left_1,11373,tiger
5703456,upload_uuid,bulk_upload.pl-76c2f01f-97e8-4577-832a-27364377b656,tiger
5703456,zip_right_1,11373,tiger
5703648,name,83rd Avenue,regular
5703648,highway,residential,regular
5703648,cfcc,A41,tiger
5703648,county,"Queens, NY",tiger
5703648,reviewed,no,tiger
5703648,zip_left,11004,tiger
5703648,name_base,83rd,tiger
5703648,name_type,Avenue,tiger
5703648,zip_right,11004,tiger
5703805,name,Guinzburg Road,regular
